"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,
"ND Medicaid Dental Services Fee Schedule",,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Child Rate","Adult Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS Tribal Generate Encounter","ORP Provider NPI Required","Tooth Number","Tooth Surface","Tooth Quadrant","Service Authorization Required","General Notes"
"D3346","Retreat root canal anterior","Dental","Yes",,"$562.20","$592.67","Yes","No","Yes","No","Yes","No","No","No",
"D3347","Retreat root canal bicuspid","Dental","Yes","Covered through age 20 only","$702.27","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D3348","Retreat root canal molar","Dental","Yes","Covered through age 20 only","$844.07","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D3351","Apexification/recalc initial","Dental","Yes","Covered through age 20 only","$236.35","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D3352","Apexification/recalc interim","Dental","Yes","Covered through age 20 only","$119.51","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D3353","Apexification/recalc final","Dental","Yes","Covered through age 20 only","$119.51","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D3410","Apicoectomy - anterior","Dental","Yes","Covered through age 20 only","$558.03","$545.05","Yes","No","Yes","No","Yes","No","No","Yes, radiographs are required",
"D3421","Root surgery bicuspid","Dental","Yes",,"$0.00","$0.00","No","No","No","No","Yes","No","No","Yes",
"D3425","Root surgery molar","Dental","Yes",,"$0.00","$0.00","No","No","No","No","Yes","No","No","Yes",
"D3426","Root surgery ea add root","Dental","Yes",,"$0.00","$0.00","No","No","No","No","Yes","No","No","Yes",
"D3430","Retrograde filling","Dental","Yes","Covered through age 20 only","$174.93","$170.87","Yes","No","Yes","No","Yes","No","No","Yes, radiographs are required",
"D3450","Root amputation","Dental","Yes",,"$0.00","$0.00","No","No","No","No","Yes","No","No","Yes",
"D3460","Endodontic endosseous implan","Dental","Yes",,"$0.00","$0.00","No","No","No","No","Yes","No","No","Yes",
"D3470","Intentional replantation","Dental","Yes",,"$0.00","$0.00","No","No","No","No","Yes","No","No","Yes",
"D4210","Gingivectomy/plasty 4 or mor","Dental","Yes",,"$435.69","$410.47","Yes","No","Yes","No","No","No","Yes","Yes, photographs and documentation are required.",
"D4211","Gingivectomy/plasty 1 to 3","Dental","Yes",,"$135.72","$127.85","Yes","No","Yes","No","No","No","Yes","Yes, photographs and documentation are required.",
"D4212","Gingivectomy/plasty rest","Dental","Yes","Covered through age 20 only","$112.53","$0.00","Yes","No","Yes","No","Yes","No","No","Yes, photographs and documentation are required.",
"D4249","Crown lengthen hard tissue","Dental","Yes","Covered through age 20 only","$0.00","$508.91","Yes","No","Yes","No","No","No","No","Yes, radiographs and/or photographs are required.",
"D4322","Splint intra-coronal","Dental","Yes",,"$452.08","$426.11","Yes","No","Yes","No","No","No","No","Yes",
"D4323","Splint extra-coronal","Dental","Yes",,"$527.16","$496.89","Yes","No","Yes","No","No","No","No","Yes",
"D4341","Periodontal scaling & root","Dental","Yes",,"$198.47","$192.70","Yes","No","Yes","No","No","No","Yes","Yes, periodontal charting required. Service authorization is required for ages 21 and older.","Procedure is allowed once per quadrant every two years for adults age 21 and older."
"D4342","Periodontal scaling 1-3teeth","Dental","Yes",,"$119.06","$95.81","Yes","No","Yes","No","No","No","Yes","Yes, periodontal charting required. Service authorization is required for ages 21 and older.","Procedure is allowed once per quadrant every two years for adults age 21 and older."
"D4346","Scaling gingiv inflammation","Dental","Yes",,"$96.46","$90.98","Yes","No","Yes","No","No","No","No","Yes, periodontal charting required. Service authorization is required for ages 21 and older.",
"D4355","Full mouth debridement","Dental","Yes",,"$144.42","$124.94","Yes","No","Yes","No","No","No","No","No",
"D4910","Periodontal maint procedures","Dental","Yes",,"$94.08","$80.41","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year"
"D5110","Dentures complete maxillary","Dental","Yes",,"$1,085.49","$1,142.42","Yes","No","Yes","No","No","No","No","Yes","Allowed once per 5 years. Authorization is required when the denture replaces a partial denture or complete denture and the prosthesis is less than 5 years old. "
"D5120","Dentures complete mandible","Dental","Yes",,"$1,085.49","$1,158.22","Yes","No","Yes","No","No","No","No","Yes","Allowed once per 5 years. Authorization is required when the denture replaces a partial denture or complete denture and the prosthesis is less than 5 years old. "
"D5130","Dentures immediat maxillary","Dental","Yes",,"$1,394.98","$1,208.27","Yes","No","Yes","No","No","No","No","Yes","Allowed once per 5 years. Authorization is required when the denture replaces a partial denture or complete denture and the prosthesis is less than 5 years old. "
"D5140","Dentures immediat mandible","Dental","Yes",,"$1,146.27","$1,220.57","Yes","No","Yes","No","No","No","No","Yes","Allowed once per 5 years. Authorization is required when the denture replaces a partial denture or complete denture and the prosthesis is less than 5 years old. "
"D5211","Dentures maxill part resin","Dental","Yes",,"$1,147.98","$1,012.11","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5212","Dentures mand part resin","Dental","Yes",,"$1,396.74","$1,247.60","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5213","Dentures maxill part metal","Dental","Yes",,"$1,427.69","$1,251.03","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5214","Dentures mandibl part metal","Dental","Yes",,"$1,421.60","$1,269.59","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5221","Immed max part denture resin","Dental","Yes",,"$1,475.26","$1,214.10","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5222","Immed man part denture resin","Dental","Yes",,"$1,475.26","$1,214.10","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5223","Immed max part dent metal","Dental","Yes",,"$1,834.71","$1,509.92","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5224","Immed mand part dent metal","Dental","Yes",,"$1,834.71","$1,509.92","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5225","Maxillary part denture flex","Dental","Yes",,"$1,147.98","$1,019.59","Yes","No","Yes","No","No","No","No","Yes","1 unit allowed per 5 years"
"D5226","Mandibular part denture flex","Dental","Yes",,"$1,147.98","$1,301.14","Yes","No","Yes","No","No","No","No","Yes","1 unit allowed per 5 years"
"D5227","Immed max part denture","Dental","Yes",,"$1,979.41","$1,865.68","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5228","Immed mand part denture","Dental","Yes",,"$1,985.24","$1,871.17","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5282","Remove unil part denture,max","Dental","Yes",,"$909.66","$697.09","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5283","Remove unil part denture,man","Dental","Yes",,"$909.66","$697.09","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5284","Rem unilat dent flex base","Dental","Yes",,"$573.97","$509.80","Yes","No","Yes","No","No","No","Yes","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5286","Rem unilat dent 1 pc resin","Dental","Yes",,"$573.97","$506.06","Yes","No","Yes","No","No","No","Yes","Yes, radiographs and tooth numbers included in the partial denture are required.","1 unit allowed per 5 years"
"D5410","Dentures adjust cmplt maxil","Dental","Yes",,"$59.89","$56.42","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year"
"D5411","Dentures adjust cmplt mand","Dental","Yes",,"$59.89","$56.42","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year"
