"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,
"ND Medicaid Durable Medical Equipment Services Fee Schedule",,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Modifier Required","Rental Rate","General Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","DME ICF Responsibility","DME NF Responsibility","DME SB Responsibility","Service Authorization Required","General Notes"
"A4382","Urinary hvy plstc pch w/o fp","DME-Purchase","Yes",,,,"$40.86","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4383","Urinary rubber pouch w/o fp","DME-Purchase","Yes",,,,"$46.81","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4384","Ostomy faceplt/silicone ring","DME-Purchase","Yes",,,,"$15.94","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","6 units allowed every month"
"A4385","Ost skn barrier sld ext wear","DME-Purchase","Yes",,,,"$8.66","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","25 units allowed every month"
"A4387","Ost clsd pouch w att st barr","DME-Purchase","Yes",,,,"$6.64","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4388","Drainable pch w ex wear barr","DME-Purchase","Yes",,,,"$7.22","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4389","Drainable pch w st wear barr","DME-Purchase","Yes",,,,"$10.32","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4390","Drainable pch ex wear convex","DME-Purchase","Yes",,,,"$15.94","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4391","Urinary pouch w ex wear barr","DME-Purchase","Yes",,,,"$11.75","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4392","Urinary pouch w st wear barr","DME-Purchase","Yes",,,,"$12.32","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4393","Urine pch w ex wear bar conv","DME-Purchase","Yes",,,,"$15.10","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4394","Ostomy pouch liq deodorant","DME-Purchase","Yes",,,,"$4.28","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","15 units allowed every month"
"A4395","Ostomy pouch solid deodorant","DME-Purchase","Yes",,,,"$0.05","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4396","Peristomal hernia supprt blt","DME-Purchase","Yes",,,,"$67.14","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","3 units allowed every year"
"A4398","Ostomy irrigation bag","DME-Purchase","Yes",,,,"$22.32","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every 6 months"
"A4399","Ostomy irrig cone/cath w brs","DME-Purchase","Yes",,,,"$20.21","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every 6 months"
"A4400","Ostomy irrigation set","DME-Purchase","Yes",,,,"$80.70","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4402","Lubricant per ounce","DME-Purchase","Yes",,,,"$2.79","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","12 units allowed every month"
"A4404","Ostomy ring each","DME-Purchase","Yes",,,,"$2.67","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","10 units allowed every month"
"A4405","Nonpectin based ostomy paste","DME-Purchase","Yes",,,,"$5.61","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","4 units allowed every month"
"A4406","Pectin based ostomy paste","DME-Purchase","Yes",,,,"$7.68","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","4 units allowed every month"
"A4407","Ext wear ost skn barr <=4sq","DME-Purchase","Yes",,,,"$14.87","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4408","Ext wear ost skn barr >4sq","DME-Purchase","Yes",,,,"$13.55","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
